"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A7VUPPUC","conferencePaper","2018","Molina-Cabello, Miguel A.; López-Rubio, Ezequiel; Luque-Baena, Rafael M.; Rodríguez-Espinosa, María Jesús; Thurnhofer-Hemsi, Karl","Blood Cell Classification Using the Hough Transform and Convolutional Neural Networks","Trends and Advances in Information Systems and Technologies","978-3-319-77712-2","","10.1007/978-3-319-77712-2_62","","The detection of red blood cells in blood samples can be crucial for the disease detection in its early stages. The use of image processing techniques can accelerate and improve the effectiveness and efficiency of this detection. In this work, the use of the Circle Hough transform for cell detection and artificial neural networks for their identification as a red blood cell is proposed. Specifically, the application of neural networks (MLP) as a standard classification technique with (MLP) is compared with new proposals related to deep learning such as convolutional neural networks (CNNs). The different experiments carried out reveal the high classification ratio and show promising results after the application of the CNNs.","2018","2021-03-06 17:08:59","2021-03-06 17:09:01","","669-678","","","","","","","Advances in Intelligent Systems and Computing","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\Sebastian\Zotero\storage\D9QI7R3R\Molina-Cabello et al. - 2018 - Blood Cell Classification Using the Hough Transfor.pdf","","","Convolutional neural networks; Blood cell classification; Blood cell detection; Circle hough transform","Rocha, Álvaro; Adeli, Hojjat; Reis, Luís Paulo; Costanzo, Sandra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92PT3NZ7","conferencePaper","2019","Kolokolnikov, G.; Samorodov, A.","Comparative Study of Data Augmentation Strategies for White Blood Cells Classification","2019 25th Conference of Open Innovations Association (FRUCT)","","","10.23919/FRUCT48121.2019.8981492","","The paper is devoted to the study of strategies that can be applied to unbalanced data in solving the task of classifying white blood cells. The main goal of the proposed paper is to determine the best approach to combat data imbalance when working with images of blood cells. Description of classical and state-of-the-art methods to deal with imbalance is given. In the course of the research, biomedical data is collected, annotated, and preprocessed, as well as selected strategies are applied to form datasets. Base model of artificial neural network for image classification is selected and built. Also, the dependence of trained models accuracy on the applied strategies is studied. Thus, the best approach to data augmentation for white blood cells classification problem is determined.","2019-11","2021-03-06 17:42:25","2021-03-06 17:42:25","","168-175","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2305-7254","","C:\Users\Sebastian\Zotero\storage\JNJ5NAR5\8981492.html; C:\Users\Sebastian\Zotero\storage\DKIV6J8U\Kolokolnikov und Samorodov - 2019 - Comparative Study of Data Augmentation Strategies .pdf","","","artificial neural network; biomedical data; blood; Computational modeling; data augmentation strategies; data imbalance; Data models; Diseases; image classification; medical image processing; neural nets; Neural networks; Training; unbalanced data; White blood cells; white blood cells classification problem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 25th Conference of Open Innovations Association (FRUCT)","","","","","","","","","","","","","","",""
"QQ6H98U8","journalArticle","2018","Tran, Thanh; Park, Jin-Hyuk; Kwon, Oh-Heum; Moon, Kwang-Seok; Lee, Suk-Hwan; Kwon, Ki-Ryong","Classification of Leukemia Disease in Peripheral Blood Cell Images Using Convolutional Neural Network","Journal of Korea Multimedia Society","","1229-7771","10.9717/kmms.2018.21.10.1150","https://www.koreascience.or.kr/article/JAKO201835858343372.page","Classification is widely used in medical images to categorize patients and non-patients. However, conventional classification requires a complex procedure, including some rigid steps such as pre-processing, segmentation, feature extraction, detection, and classification. In this paper, we propose a novel convolutional neural network (CNN), called LeukemiaNet, to specifically classify two different types of leukemia, including acute lymphoblastic leukemia (ALL) and acute myeloid leukemia (AML), and non-cancerous patients. To extend the limited dataset, a PCA color augmentation process is utilized before images are input into the LeukemiaNet. This augmentation method enhances the accuracy of our proposed CNN architecture from 96.9% to 97.2% for distinguishing ALL, AML, and normal cell images.","2018","2021-03-06 18:15:18","2021-04-13 16:33:58","2021-03-06 18:15:18","1150-1161","","10","21","","","","","","","","","","eng","","","","","www.koreascience.or.kr","","Publisher: Korea Multimedia Society","","C:\Users\Sebastian\Zotero\storage\JC7QHYCX\Tran et al. - 2018 - Classification of Leukemia Disease in Peripheral B.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBJBHR2H","journalArticle","2019","Bao, Yanqing; Zhao, Xinzhuo; Wang, Lin; Qian, Wei; Sun, Jianjun","Morphology-based classification of mycobacteria-infected macrophages with Convolutional Neural Network: reveal EsxA-induced morphological changes indistinguishable by naked eyes","Translational research : the journal of laboratory and clinical medicine","","1931-5244","10.1016/j.trsl.2019.06.001","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6755059/","EsxA is an essential virulence factor for Mycobacterium tuberculosis (Mtb) pathogenesis as well as an important biomarker for Mtb detection. In this study, we use light microscopy and deep learning-based image analysis to classify the morphological changes of macrophages infected by Mycobacterium marinum (Mm), a surrogate model for Mtb. Macrophages were infected either with the mCherry-expressing Mm wild type strain (Mm(WT)), or a mutant strain with deletion of the esxA-esxB operon (Mm(ΔEsxA:B)). The mCherry serves as an infection marker to train the convolution neural network (CNN) and to validate the classification results. Data show that CNN can distinguish the Mm(WT)-infected cells from uninfected cells with an accuracy of 92.4% at 2 hours post infection (hpi). However, the accuracy at 12 and 24 hpi is decreased to ~75% and ~83%, respectively, suggesting dynamic morphological changes through different stages of infection. The accuracy of discriminating Mm(ΔEsxA:B)-infected cells from uninfected cells is lower than 80% at all time, which is consistent to attenuated virulence of Mm(ΔEsxA:B). Interestingly, CNN distinguishes Mm(WT)-infected cells from Mm(ΔEsxA:B)-infected cells with Δ90% accuracy, implicating EsxA induces unique morphological changes in macrophages. Deconvolutional analysis successfully reconstructed the morphological features used by CNN for classification, which are indistinguishable to naked eyes and distinct from intracellular mycobacteria. This study presents a deep learning-aided imaging analytical tool that can accurately detect virulent mycobacteria-infected macrophages by cellular morphological changes. The observed morphological changes induced by EsxA warrant further studies to fill the gap from molecular actions of bacterial virulence factors to cellular morphology., Mycobacterium tuberlucosis (Mtb) is an intracellular pathogenic bacteria that poses a serious threat to public health. Detection of Mtb infection plays an important role in tuberlucosis (TB) diagnosis, prevention and treatment. Here, a deep learning neural network for image analysis is developed to detect mycobacterial infection in unstained macrophages by solely recognizing morphological changes. The trained convolutional neural network (CNN) can accurately distinguish infected cells from uninfected cells using regular phase-contrast microscopic images. Moreover, the CNN could further distinguish the infections caused by wild type virulent mycobacterial strain versus a mutant strain with deletion of virulence factors, which correlates virulence factors to specific morphological features and demonstrates potential applications in TB diagnosis and research.","2019-10","2021-03-07 10:06:33","2021-03-07 10:06:33","2021-03-07 10:06:33","1-13","","","212","","Transl Res","Morphology-based classification of mycobacteria-infected macrophages with Convolutional Neural Network","","","","","","","","","","","","PubMed Central","","PMID: 31287998 PMCID: PMC6755059","","C:\Users\Sebastian\Zotero\storage\YNIIZR3D\Bao et al. - 2019 - Morphology-based classification of mycobacteria-in.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6755059/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PGUNP44","journalArticle","2019","Ye, Qinghao; Tu, Daijian; Qin, Feiwei; Wu, Zizhao; Peng, Yong; Shen, Shuying","Dual attention based fine-grained leukocyte recognition for imbalanced microscopic images","Journal of Intelligent & Fuzzy Systems","","1064-1246","10.3233/JIFS-191000","https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs191000","Traditional clinical diagnostic aid systems for medical images are facing challenges of reliability and interpretability. Artificial intelligence has the potential to bring driving changes to disease diagnosis methods through rapid traversal of medi","2019-01-01","2021-03-07 10:21:19","2021-03-07 10:21:19","2021-03-07 10:21:19","6971-6982","","5","37","","","","","","","","","","en","","","","","content.iospress.com","","Publisher: IOS Press","","C:\Users\Sebastian\Zotero\storage\IHDUKUD8\ifs191000.html; C:\Users\Sebastian\Zotero\storage\SNUUS4XX\Ye et al. - 2019 - Dual attention based fine-grained leukocyte recogn.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8KHA2R6","journalArticle","2019","Aeffner, Famke; Zarella, Mark D.; Buchbinder, Nathan; Bui, Marilyn M.; Goodman, Matthew R.; Hartman, Douglas J.; Lujan, Giovanni M.; Molani, Mariam A.; Parwani, Anil V.; Lillard, Kate; Turner, Oliver C.; Vemuri, Venkata N. P.; Yuil-Valdes, Ana G.; Bowman, Douglas","Introduction to Digital Image Analysis in Whole-slide Imaging: A White Paper from the Digital Pathology Association","Journal of Pathology Informatics","","2229-5089","10.4103/jpi.jpi_82_18","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437786/","The advent of whole-slide imaging in digital pathology has brought about the advancement of computer-aided examination of tissue via digital image analysis. Digitized slides can now be easily annotated and analyzed via a variety of algorithms. This study reviews the fundamentals of tissue image analysis and aims to provide pathologists with basic information regarding the features, applications, and general workflow of these new tools. The review gives an overview of the basic categories of software solutions available, potential analysis strategies, technical considerations, and general algorithm readouts. Advantages and limitations of tissue image analysis are discussed, and emerging concepts, such as artificial intelligence and machine learning, are introduced. Finally, examples of how digital image analysis tools are currently being used in diagnostic laboratories, translational research, and drug development are discussed.","2019-03-08","2021-03-08 12:53:50","2021-03-08 12:53:50","2021-03-08 12:53:50","","","","10","","J Pathol Inform","Introduction to Digital Image Analysis in Whole-slide Imaging","","","","","","","","","","","","PubMed Central","","PMID: 30984469 PMCID: PMC6437786","","C:\Users\Sebastian\Zotero\storage\NLH5LKRY\Aeffner et al. - 2019 - Introduction to Digital Image Analysis in Whole-sl.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437786/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ULD8FSWR","journalArticle","2016","Xing, F.; Yang, L.","Robust Nucleus/Cell Detection and Segmentation in Digital Pathology and Microscopy Images: A Comprehensive Review","IEEE Reviews in Biomedical Engineering","","1941-1189","10.1109/RBME.2016.2515127","","Digital pathology and microscopy image analysis is widely used for comprehensive studies of cell morphology or tissue structure. Manual assessment is labor intensive and prone to interobserver variations. Computer-aided methods, which can significantly improve the objectivity and reproducibility, have attracted a great deal of interest in recent literature. Among the pipeline of building a computer-aided diagnosis system, nucleus or cell detection and segmentation play a very important role to describe the molecular morphological information. In the past few decades, many efforts have been devoted to automated nucleus/cell detection and segmentation. In this review, we provide a comprehensive summary of the recent state-of-the-art nucleus/cell segmentation approaches on different types of microscopy images including bright-field, phase-contrast, differential interference contrast, fluorescence, and electron microscopies. In addition, we discuss the challenges for the current methods and the potential future work of nucleus/cell detection and segmentation.","2016","2021-03-08 13:06:43","2021-03-08 13:06:48","","234-263","","","9","","","Robust Nucleus/Cell Detection and Segmentation in Digital Pathology and Microscopy Images","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Reviews in Biomedical Engineering","","C:\Users\Sebastian\Zotero\storage\G8D9SW2Q\7373572.html; C:\Users\Sebastian\Zotero\storage\PNDM8DCP\Xing und Yang - 2016 - Robust NucleusCell Detection and Segmentation in .pdf","","","biological tissues; biomedical optical imaging; Cell; cell morphology; Cell Nucleus; cellular biophysics; comprehensive review; Computer aided diagnosis; computer-aided diagnosis system; detection; differential interference contrast; digital pathology; electron microscopy; Feature extraction; fluorescence; histopathology; Image analysis; Image Interpretation, Computer-Assisted; image segmentation; Image segmentation; medical image processing; Microscopy; microscopy image analysis; microscopy images; molecular morphological information; Morphology; neurophysiology; nucleus; nucleus-cell detection; optical microscopy; Pathology; reviews; robust nucleus-cell detection; segmentation; state-of-the-art nucleus-cell segmentation approaches; tissue structure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NEUQQ3L","journalArticle","2020","Abdulkarim, H.; Razak, M. A. A.; Sudirman, R.; Ramli, Norhafizah","A deep learning AlexNet model for classification of red blood cells in sickle cell anemia","","","","10.11591/IJAI.V9.I2.PP221-228","","Sickle cell anemia (SCA) is a serious hematological disorder, where affected patients are frequently hospitalized throughout a lifetime and even can cause death. The manual method of detecting and classifying abnormal cells of SCA patient blood film through a microscope is time-consuming, tedious, prone to error, and require a trained hematologist. The affected patient has many cell shapes that show important biomechanical characteristics. Hence, having an effective way of classifying the abnormalities present in the SCA disease will give a better insight into managing the concerned patient's life. This work proposed algorithm in two-phase firstly, automation of red blood cells (RBCs) extraction to identify the RBC region of interest (ROI) from the patient’s blood smear image. Secondly, deep learning AlexNet model is employed to classify and predict the abnormalities presence in SCA patients. The study was performed with (over 9,000 single RBC images) taken from 130 SCA patient each class having 750 cells. To develop a shape factor quantification and general multiscale shape analysis. We reveal that the proposed framework can classify 15 types of RBC shapes including normal in an automated manner with a deep AlexNet transfer learning model. The cell's name classification prediction accuracy, sensitivity, specificity, and precision of 95.92%, 77%, 98.82%, and 90% were achieved, respectively.","2020","2021-03-09 13:30:40","2021-03-09 13:30:40","","","","","","","","","","","","","","","","","","","","Semantic Scholar","","","","C:\Users\Sebastian\Zotero\storage\U3SLD7JB\Abdulkarim et al. - 2020 - A deep learning AlexNet model for classification o.pdf; ","https://www.semanticscholar.org/paper/A-deep-learning-AlexNet-model-for-classification-of-Abdulkarim-Razak/2c343841d9afae37f7e75107dd019b1a59ee39d4?p2df","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCJVE2PB","journalArticle","2020","Loey, Mohamed; Naman, Mukdad Rasheed; Zayed, Hala Helmy","A Survey on Blood Image Diseases Detection Using Deep Learning","International Journal of Service Science, Management, Engineering, and Technology (IJSSMET)","","1947-959X","10.4018/IJSSMET.2020070102","www.igi-global.com/article/a-survey-on-blood-image-diseases-detection-using-deep-learning/256653","Blood disease detection and diagnosis using blood cells images is an interesting and active research area in both the computer and medical fields. There are many techniques developed to examine blood samples to detect leukemia disease, these techniques are the traditional techniques and the deep lea...","2020-07-01","2021-03-09 15:21:47","2021-03-22 17:57:40","2021-03-09 15:21:47","18-32","","3","11","","IJSSMET","","","","","","","","en","","","","","","","Publisher: IGI Global","","C:\Users\Sebastian\Zotero\storage\GGA3U63J\Loey et al. - 2020 - A Survey on Blood Image Diseases Detection Using D.pdf; C:\Users\Sebastian\Zotero\storage\R7UNBYU2\256653.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKQFEIRK","conferencePaper","2021","Oliveira, José Maurício de; Dantas, Daniel","Classification of Normal versus Leukemic Cells with Data Augmentation and Convolutional Neural Networks","","978-989-758-488-6","","","https://www.scitepress.org/PublicationsDetail.aspx?ID=ytM9YTmMH3A=&t=1","Digital Library","2021-03-09","2021-03-09 15:55:35","2021-03-09 15:55:35","2021-03-09 15:55:35","685-692","","","","","","","","","","","","","","","","","","www.scitepress.org","","","","C:\Users\Sebastian\Zotero\storage\4XYN6DVY\Oliveira und Dantas - 2021 - Classification of Normal versus Leukemic Cells wit.pdf; C:\Users\Sebastian\Zotero\storage\Y8LX32QC\PublicationsDetail.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16th International Conference on Computer Vision Theory and Applications","","","","","","","","","","","","","","",""
"VDSSU5W5","journalArticle","2020","Safuan, Syadia Nabilah Mohd; Tomari, Mohd Razali Md; Zakaria, Wan Nurshazwani Wan; Mohd, Mohd Norzali Hj; Suriani, Nor Surayahani","Investigation of white blood cell biomaker model for acute lymphoblastic leukemia detection based on convolutional neural network","Bulletin of Electrical Engineering and Informatics","","2302-9285","10.11591/eei.v9i2.1857","https://beei.org/index.php/EEI/article/view/1857","Acute Lymphoblastic Leukemia (ALL) is a disease that is defined by uncontrollable growth of malignant and immature White Blood Cells (WBCs) which is called lymphoblast. Traditionally, lymphoblast analysis is done manually and highly dependent on the pathologist’s skill and  experience which sometimes yields inaccurate result. For that reason, in this project an algorithm to automatically detect WBC and subsequently examine ALL disease using Convolutional Neural Network (CNN) is proposed. Several pretrained CNN models which are VGG, GoogleNet and Alexnet were analaysed to compare its performance for differentiating lymphoblast and non-lymphoblast cells from IDB database. The tuning is done by experimenting the convolution layer, pooling layer and fully connected layer. Technically, 70% of the images are used for training and another 30% for testing. From the experiments, it is found that the best pretrained models are VGG and GoogleNet compared to AlexNet by achieving 100% accuracy for training. As for testing, VGG obtained the highest performance which is 99.13% accuracy. Apart from that, VGG also proven to have better result based on the training graph which is more stable and contains less error compared to the other two models.","2020-04-01","2021-03-09 15:58:28","2021-03-09 15:58:28","2021-03-09 15:58:28","611-618","","2","9","","","","","","","","","","en","Copyright (c)","","","","beei.org","","Number: 2","","C:\Users\Sebastian\Zotero\storage\D6RQYLU2\Safuan et al. - 2020 - Investigation of white blood cell biomaker model f.pdf; C:\Users\Sebastian\Zotero\storage\RH74LA5E\1857.html","","","Acute lymphoblastic leukemia; Convolutional neural network; White blood cell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K44IXVXN","journalArticle","2020","Vogado, Luis H. S.; Veras, Rodrigo M. S.; Aires, Kelson R. T.","""LeukNet"" - A Model of Convolutional Neural Network for the Diagnosis of Leukemia","Anais Estendidos da Conference on Graphics, Patterns and Images (SIBGRAPI)","","0000-0000","10.5753/sibgrapi.est.2020.12993","https://sol.sbc.org.br/index.php/sibgrapi_estendido/article/view/12993","Resumo 					Leukemia is a disorder that affects the bone marrow, causing uncontrolled production of leukocytes, impairing the transport of oxygen and causing blood coagulation problems. In this article, we propose a new computational tool, named LeukNet, a Convolutional Neural Network (CNN) architecture based on the VGG-16 convolutional blocks, to facilitate the leukemia diagnosis from blood smear images. We evaluated different architectures and fine-tuning methods using 18 datasets containing 3536 images with distinct characteristics of color, texture, contrast, and resolution. Additionally, data augmentation operations were applied to increase the training set by up to 20 times. The k-fold cross-validation (k = 5) results achieved 98.28% of accuracy. A cross-dataset validation technique, named LeaveOne-Dataset-Out Cross-Validation (LODOCV), is also proposed to evaluate the developed model’s generalization capability. The accuracy of using LODOCV on the ALL-IDB 1, ALL-IDB 2, and UFG datasets was 97.04%, 82.46%, and 70.24%, respectively, overcoming the current state-of-the-art results and offering new guidelines for image-based computer-aided diagnosis (CAD) systems in this area.","2020-11-07","2021-03-09 16:01:08","2021-03-09 16:01:08","2021-03-09 16:01:08","119-125","","","","","","","","","","","","","en","Copyright (c)","","","","sol.sbc.org.br","","Conference Name: Anais Estendidos do XXXIII Conference on Graphics, Patterns and Images Publisher: SBC","","C:\Users\Sebastian\Zotero\storage\SJGAGFQK\Vogado et al. - 2020 - LeukNet - A Model of Convolutional Neural Networ.pdf; C:\Users\Sebastian\Zotero\storage\3HHZE9F4\12993.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBN5WSNL","journalArticle","2021","Chabrun, Floris; Dieu, Xavier; Doudeau, Nicolas; Gautier, Jennifer; Luque‐Paz, Damien; Geneviève, Franck; Ferré, Marc; Mirebeau‐Prunier, Delphine; Annweiler, Cédric; Reynier, Pascal","Deep learning shows no morphological abnormalities in neutrophils in Alzheimer's disease","Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring","","2352-8729","https://doi.org/10.1002/dad2.12146","https://alz-journals.onlinelibrary.wiley.com/doi/abs/10.1002/dad2.12146","Introduction Several studies have provided evidence of the key role of neutrophils in the pathophysiology of Alzheimer's disease (AD). Yet, no study to date has investigated the potential link between AD and morphologically abnormal neutrophils on blood smears. Methods Due to the complexity and subjectivity of the task by human analysis, deep learning models were trained to predict AD from neutrophil images. Control models were trained for a known feasible task (leukocyte subtype classification) and for detecting potential biases of overfitting (patient prediction). Results Deep learning models achieved state-of-the-art results for leukocyte subtype classification but could not accurately predict AD. Discussion We found no evidence of morphological abnormalities of neutrophils in AD. Our results show that a solid deep learning pipeline with positive and bias control models with visualization techniques are helpful to support deep learning model results.","2021","2021-03-10 12:30:12","2021-03-10 12:30:12","2021-03-10 12:30:12","e12146","","1","13","","","","","","","","","","en","© 2021 The Authors. Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring published by Wiley Periodicals, LLC on behalf of Alzheimer's Association","","","","Wiley Online Library","","_eprint: https://alz-journals.onlinelibrary.wiley.com/doi/pdf/10.1002/dad2.12146","","C:\Users\Sebastian\Zotero\storage\WXCU5HJ9\Chabrun et al. - 2021 - Deep learning shows no morphological abnormalities.pdf; C:\Users\Sebastian\Zotero\storage\LUJZCRPM\dad2.html","","","machine learning; deep learning; neutrophils; Alzheimer's disease; artificial intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4AIB2FD8","journalArticle","2020","Kumar, Rajiv; Joshi, Shivani; Dwivedi, Avinash","CNN-SSPSO: A Hybrid and Optimized CNN Approach for Peripheral Blood Cell Image Recognition and Classification","International Journal of Pattern Recognition and Artificial Intelligence","","0218-0014","10.1142/S0218001421570044","https://www.worldscientific.com/doi/abs/10.1142/S0218001421570044","White blood cells (WBCs) play a main role in identifying the health condition and disease characteristics of a normal person. An automated classification system is capable of recognizing white blood cells that may help doctors to diagnose several diseases like malaria, anemia, leukemia, etc. Automated blood cell analysis allows fast and accurate outcomes and often involves broad data without performance negotiation. The state-of-the-art systems use a lot of different stages (feature extraction, segmentation, pre-processing, etc.) to provide the automated blood cell analysis using blood smear images which is a lengthy process. To overcome these problems, this paper presents an efficient peripheral blood cell image recognition and classification using a combination of the salp swarm algorithm and the cat swarm optimization (SSPSO) algorithm-based optimized convolutional neural networks (SSPSO-CNN) method. This paper uses the CNN approach to classify five peripheral blood cells such as eosinophil, basophil, lymphocytes, monocytes, and neutrophils without any human intervention. The other objective of this paper is to propose an improved version of salp swarm optimizer (SSO) using particle swarm optimization (PSO) to attain competitive classification performance over the database of the blood cell images. In this paper, the CNN uses VGG19 architecture for training purposes. The accuracy of the classification achieved with VGG19 models is 98%. The proposed model based on the CNN approach optimized by SSPSO achieves high classification accuracy and provides automatic peripheral blood cell classification. This method establishes the fine-tuning process to develop a classifier trained using 10 674 images obtained from medical practice. The proposed method augmented the performance in terms of high precision and FF<math display=""inline"" overflow=""scroll"" altimg=""eq-00001.gif""><mi>F</mi></math>1-score and obtained an overall classification accuracy of 99%.","2020-10-07","2021-03-10 13:20:51","2021-03-10 13:20:51","2021-03-10 13:20:51","2157004","","","","","Int. J. Patt. Recogn. Artif. Intell.","CNN-SSPSO","","","","","","","","","","","","worldscientific.com (Atypon)","","Publisher: World Scientific Publishing Co.","","C:\Users\Sebastian\Zotero\storage\PMAKYV76\Kumar et al. - 2020 - CNN-SSPSO A Hybrid and Optimized CNN Approach for.pdf; C:\Users\Sebastian\Zotero\storage\8E4YXDL9\S0218001421570044.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPYLBRZ4","journalArticle","2020","Baydilli, Yusuf Yargı; Atila, Ümit","Classification of white blood cells using capsule networks","Computerized Medical Imaging and Graphics","","0895-6111","10.1016/j.compmedimag.2020.101699","https://www.sciencedirect.com/science/article/pii/S0895611120300021","Background While the number and structural features of white blood cells (WBC) can provide important information about the health status of human beings, the ratio of sub-types of these cells and the deformations that can be observed serve as a good indicator in the diagnosis process of some diseases. Hence, correct identification and classification of the WBC types is of great importance. In addition, the fact that the diagnostic process that is carried out manually is slow, and the success is directly proportional to the expert's skills makes this problem an excellent field of application for computer-aided diagnostic systems. Unfortunately, both the ethical reasons and the cost of image acquisition process is one of the biggest obstacles to the fact that researchers working with medical images are able to collect enough data to produce a stable model. For that reasons, researchers who want to perform a successful analysis with small data sets using classical machine learning methods need to undergo their data a long and error-prone pre-process, while those using deep learning methods need to increase the data size using augmentation techniques. As a result, there is a need for a model that does not need pre-processing and can perform a successful classification in small data sets. Methods WBCs were classified under five categories using a small data set via capsule networks, a new deep learning method. We improved the model using many techniques and compared the results with the most known deep learning methods. Results Both the above-mentioned problems were overcame and higher success rates were obtained compared to other deep learning models. While, convolutional neural networks (CNN) and transfer learning (TL) models suffered from over-fitting, capsule networks learned well training data and achieved a high accuracy on test data (96.86%). Conclusion In this study, we briefly discussed the abilities of capsule networks in a case study. We showed that capsule networks are a quite successful alternative for deep learning and medical data analysis when the sample size is limited.","2020-03-01","2021-03-10 13:36:19","2021-03-10 13:36:19","2021-03-10 13:36:19","101699","","","80","","Computerized Medical Imaging and Graphics","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\Sebastian\Zotero\storage\JB9KX2XE\Baydilli und Atila - 2020 - Classification of white blood cells using capsule .pdf; C:\Users\Sebastian\Zotero\storage\R73EBCTA\S0895611120300021.html","","","Capsule networks; Classification; Deep learning; Medical image analysis; White blood cells (WBC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3WXJE8A","conferencePaper","2020","Malkawi, A.; Al-Assi, R.; Salameh, T.; Sheyab, B.; Alquran, H.; Alqudah, A. M.","White Blood Cells Classification Using Convolutional Neural Network Hybrid System","2020 IEEE 5th Middle East and Africa Conference on Biomedical Engineering (MECBME)","","","10.1109/MECBME47393.2020.9265154","","Blood and its components play a very important role in human life and it considers the best indicator in determining many biological conditions. Pathologists used optical microscopic blood images to diagnose diseases; some of these diseases are Acquired Immune Deficiency Syndrome (AIDS), Leukemia, after recognizing white blood cells (WBCs) from those images. Recently, a Computer-aided diagnosis system is used for diagnosing blood from its microscopic images. In this research, microscopic WBCs images were classified using a hybrid system where Convolutional Neural Network (CNN) used as features extractor and different machine learning algorithms used as classifiers, then the performances of these classifiers were evaluated to recognize the best of them. These algorithms include Support Vector Machine (SVM), k-Nearest Neighbor (KNN) and Random Forest, for training and test parameters we used five features that were extracted from the images. According to results of performance, the RF performed better than the other methods with a testing accuracy reached 98.7%.","2020-10","2021-03-10 13:37:33","2021-03-10 13:37:33","","1-5","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Sebastian\Zotero\storage\Q5J6UPJZ\Malkawi et al. - 2020 - White Blood Cells Classification Using Convolution.pdf","","","acquired immune deficiency syndrome; AIDS; biological conditions; biomedical optical imaging; blood; Blood; blood cells; blood diagnosis; cancer; cellular biophysics; Classification algorithms; classifiers; computer-aided diagnosis system; convolutional neural nets; convolutional neural network hybrid system; Deep Learning; diseases; feature extraction; Feature extraction; features extractor; human life; image classification; k-nearest neighbor; leukemia; leukocytes; machine learning; Machine learning algorithms; medical image processing; microscopic images; microscopic WBCs image classification; Microscopy; nearest neighbour methods; optical microscopic blood images; pathologists; random forest; random forests; support vector machine; support vector machines; Support vector machines; WBC classification; White blood cells; white blood cells classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE 5th Middle East and Africa Conference on Biomedical Engineering (MECBME)","","","","","","","","","","","","","","",""
